Código;Família;Subtipo;Descrição;Especialidade;Conc. JJ Ref 1;Conc. JJ Ref 2;Conc. JJ Ref 3;Conc. JJ Ref 4;Diâmetro;Comprimento Fio;Descrição completa agulha;Tipo;Cod. Agulha;Curv;Tamanho Agulha;Env / Cxa;Observação ;RMS;Descrição para Licitação;Composto;NomeConcorrente;codigo_bioline
266001MV-;MIDSORB;SAS;MIDSORB VIOL. 1 70CM MC36;Aparelho Digestivo;CF129T;;;;1;70 cm;1/2 Círculo Cilíndrica - 3,6 cm;Círculo  Cilíndrico;MC36;1/2;3,6cm;24;;80052020059;Fio de sutura cirúrgica Midsorb Violeta composto por Poliglecaprone 25 Monofilamentar, de diâmetro USP 1 com 70 cm de comprimento, com agulha MC36 de curvatura 1/2 Círculo  Cilíndrico Corpo estriado 3,6cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020059 Código/modelo:266001MV- Fabricante: Polysuture. Origem: Nacional.;Poliglecaprone 25;Monocryl;
266020MV-;MIDSORB;SAS;MIDSORB VIOL. 2-0 70CM MC36;Aparelho Digestivo;CF127T;;;;2-0;70 cm;1/2 Círculo Cilíndrica - 3,6 cm;Círculo  Cilíndrico;MC36;1/2;3,6cm;24;;80052020059;Fio de sutura cirúrgica Midsorb Violeta composto por Poliglecaprone 25 Monofilamentar, de diâmetro USP 2-0 com 70 cm de comprimento, com agulha MC36 de curvatura 1/2 Círculo  Cilíndrico Corpo estriado 3,6cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020059 Código/modelo:266020MV- Fabricante: Polysuture. Origem: Nacional.;Poliglecaprone 25;Monocryl;
266030MV-;MIDSORB;SAS;MIDSORB VIOL. 3-0 70CM MC36;Aparelho Digestivo;CF126T;;;;3-0;70 cm;1/2 Círculo Cilíndrica - 3,6 cm;Círculo  Cilíndrico;MC36;1/2;3,6cm;24;;80052020059;Fio de sutura cirúrgica Midsorb Violeta composto por Poliglecaprone 25 Monofilamentar, de diâmetro USP 3-0 com 70 cm de comprimento, com agulha MC36 de curvatura 1/2 Círculo  Cilíndrico Corpo estriado 3,6cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020059 Código/modelo:266030MV- Fabricante: Polysuture. Origem: Nacional.;Poliglecaprone 25;Monocryl;
-275000;MIDSORB;SAS;MIDSORB VIOL. 0 70CM MCR40;Fechamento Geral / Obstetrícia / Ginecologia;CF802T;;;;0;70 cm;1/2 Circ. Cilíndrica Robusta / Taper Point Heavy - 4,0cm;Círculo Cilíndrica Robusta;MCR40;1/2;4,0cm;24;;80052020059;Fio de sutura cirúrgica Midsorb Violeta composto por Poliglecaprone 25 Monofilamentar, de diâmetro USP 0 com 70 cm de comprimento, com agulha MCR40 de curvatura 1/2 Círculo Cilíndrica Robusta Corpo estriado 4,0cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020059 Código/modelo:275000- Fabricante: Polysuture. Origem: Nacional.;Poliglecaprone 25;Monocryl;PGCL0MR40R
-275001;MIDSORB;SAS;MIDSORB VIOL. 1 70CM MCR40;Fechamento Geral / Obstetrícia / Ginecologia;CF803T;;;;1;70 cm;1/2 Circ. Cilíndrica Robusta / Taper Point Heavy - 4,0cm;Círculo Cilíndrica Robusta;MCR40;1/2;4,0cm;24;;80052020059;Fio de sutura cirúrgica Midsorb Violeta composto por Poliglecaprone 25 Monofilamentar, de diâmetro USP 1 com 70 cm de comprimento, com agulha MCR40 de curvatura 1/2 Círculo Cilíndrica Robusta Corpo estriado 4,0cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020059 Código/modelo:275001- Fabricante: Polysuture. Origem: Nacional.;Poliglecaprone 25;Monocryl;PGCL1MR40R
-275020;MIDSORB;SAS;MIDSORB VIOL. 2-0 70CM MCR40;Fechamento Geral / Obstetrícia / Ginecologia;CF801T;;;;2-0;70 cm;1/2 Circ. Cilíndrica Robusta / Taper Point Heavy - 4,0cm;Círculo Cilíndrica Robusta;MCR40;1/2;4,0cm;24;;80052020059;Fio de sutura cirúrgica Midsorb Violeta composto por Poliglecaprone 25 Monofilamentar, de diâmetro USP 2-0 com 70 cm de comprimento, com agulha MCR40 de curvatura 1/2 Círculo Cilíndrica Robusta Corpo estriado 4,0cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020059 Código/modelo:275020- Fabricante: Polysuture. Origem: Nacional.;Poliglecaprone 25;Monocryl;PGCL20MR40R
415040KD-;MIDSORB;SAS;MIDSORB INCOL. 4-0 45CM P-13;Cirurgia Plástica;XYY494G;MCP494G;Y494G;;4-0;45 cm;3/8 Circ. Triangular / Reverse Cutting - 1,3cm;Triang. Reverso Premium - EDGELLANT;P-13;3/8;1,3cm;12;Novo;80052020059;Fio de sutura cirúrgica Midsorb Incolor composto por Poliglecaprone 25 Monofilamentar, de diâmetro USP 4-0 com 45 cm de comprimento, com agulha P13 de curvatura 3/8 Triang. Reverso Premium  1,3cm. Produto comercializado em caixa contendo 12 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020059 Código/modelo:415040KD- Fabricante: Polysuture. Origem: Nacional.;Poliglecaprone 25;Monocryl;
415040XF-;MIDSORB;SAS;MIDSORB INCOL. 4-0 45CM CT13XF;Cirurgia Plástica;XYY494G;MCP494G;Y494G;;4-0;45 cm;3/8 Circ. Triangular / Reverse Cutting - 1,3cm;Triang. Reverso Premium Plastic;CT13 XF;3/8;1,3cm;12;EM PHASE-OUT - NOVO: 415040KD-;80052020059;Fio de sutura cirúrgica Midsorb Incolor composto por Poliglecaprone 25 Monofilamentar, de diâmetro USP 4-0 com 45 cm de comprimento, com agulha CT13XF de curvatura 3/8 Triang. Reverso Premium Plastic 1,3cm. Produto comercializado em caixa contendo 12 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020059 Código/modelo:415040XF- Fabricante: Polysuture. Origem: Nacional.;Poliglecaprone 25;Monocryl;
415050KD-;MIDSORB;SAS;MIDSORB INCOL. 5-0 45CM P-13;Cirurgia Plástica;XYY493G;MCP493G;Y493G;;5-0;45 cm;3/8 Circ. Triangular / Reverse Cutting - 1,3cm;Triang. Reverso Premium - EDGELLANT;P-13;3/8;1,3cm;12;Novo;80052020059;Fio de sutura cirúrgica Midsorb Incolor composto por Poliglecaprone 25 Monofilamentar, de diâmetro USP 5-0 com 45 cm de comprimento, com agulha P13 de curvatura 3/8 Triang. Reverso Premium  1,3cm. Produto comercializado em caixa contendo 12 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020059 Código/modelo:415050KD- Fabricante: Polysuture. Origem: Nacional.;Poliglecaprone 25;Monocryl;
425040XF-;MIDSORB;SAS;MIDSORB INCOL. 4-0 45CM CT16.5XF;Cirurgia Plástica;XYY845G;MCP845G;Y845G;;4-0;45 cm;3/8 Circ. Triangular / Reverse Cutting - 1,65cm;Triang. Reverso Premium Plastic;CT16,5 XF;3/8;1,65cm;12;;80052020059;Fio de sutura cirúrgica Midsorb Incolor composto por Poliglecaprone 25 Monofilamentar, de diâmetro USP 4-0 com 45 cm de comprimento, com agulha CT16,5XF de curvatura 3/8 Triang. Reverso Premium Plastic 1,65cm. Produto comercializado em caixa contendo 12 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020059 Código/modelo:425040XF- Fabricante: Polysuture. Origem: Nacional.;Poliglecaprone 25;Monocryl;
425050XF-;MIDSORB;SAS;MIDSORB INCOL. 5-0 45CM CT16.5XF;Cirurgia Plástica;XYY844G;MCP844G;Y844G;;5-0;45 cm;3/8 Circ. Triangular / Reverse Cutting - 1,65cm;Triang. Reverso Premium Plastic;CT16,5 XF;3/8;1,65cm;12;;80052020059;Fio de sutura cirúrgica Midsorb Incolor composto por Poliglecaprone 25 Monofilamentar, de diâmetro USP 5-0 com 45 cm de comprimento, com agulha CT16,5XF de curvatura 3/8 Triang. Reverso Premium Plastic 1,65cm. Produto comercializado em caixa contendo 12 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020059 Código/modelo:425050XF- Fabricante: Polysuture. Origem: Nacional.;Poliglecaprone 25;Monocryl;
435030MT-;MIDSORB;SAS;MIDSORB INCOL. 3-0 70CM P-14;Cirurgia Plástica;XYY936H;MCP936H;Y936H;;3-0;70 cm;3/8 Circ. Triangular / Reverse Cutting - 2,4cm;Triang. Reverso Premium - EDGELLANT;P-14;3/8;2,4cm;36;Novo;80052020059;Fio de sutura cirúrgica Midsorb Incolor composto por Poliglecaprone 25 Monofilamentar, de diâmetro USP 3-0 com 70 cm de comprimento, com agulha P14 de curvatura 3/8 Triang. Reverso Premium 2,4cm. Produto comercializado em caixa contendo 36 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020059 Código/modelo:435030MT- Fabricante: Polysuture. Origem: Nacional.;Poliglecaprone 25;Monocryl;PGCL30CT24IEAP
435030MTE-;MIDSORB;SAS;MIDSORB INCOL. 3-0 70CM P-12;Cirurgia Plástica;XYY427H;MCP427H;Y427H;;3-0;70 cm;3/8 Circ. Triangular / Reverse Cutting - 1,95cm;Triang. Reverso Premium - EDGELLANT;P-12;3/8;1,9cm;36;Novo;80052020059;Fio de sutura cirúrgica Midsorb Incolor composto por Poliglecaprone 25 Monofilamentar, de diâmetro USP 3-0 com 70 cm de comprimento, com agulha P12 de curvatura 3/8 Triang. Reverso Premium 1,9cm. Produto comercializado em caixa contendo 36 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020059 Código/modelo:435030MTE- Fabricante: Polysuture. Origem: Nacional.;Poliglecaprone 25;Monocryl;PGCL30CT19IEAP
435040KD-;MIDSORB;SAS;MIDSORB INCOL. 4-0 45CM P-12;Cirurgia Plástica;XYY496G;MCP496G;Y496G;;4-0;45 cm;3/8 Circ. Triangular / Reverse Cutting - 1,95cm;Triang. Reverso Premium - EDGELLANT;P-12;3/8;1,9cm;12;Novo;80052020059;Fio de sutura cirúrgica Midsorb Incolor composto por Poliglecaprone 25 Monofilamentar, de diâmetro USP 4-0 com 45 cm de comprimento, com agulha P12 de curvatura 3/8 Triang. Reverso Premium 1,9cm. Produto comercializado em caixa contendo 12 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020059 Código/modelo:435040KD- Fabricante: Polysuture. Origem: Nacional.;Poliglecaprone 25;Monocryl;PGCL40CT19IAP
435040MT-;MIDSORB;SAS;MIDSORB INCOL. 4-0 70CM P-12;Cirurgia Plástica;XYY426H;MCP426H;Y426H;;4-0;70 cm;3/8 Circ. Triangular / Reverse Cutting - 1,95cm;Triang. Reverso Premium - EDGELLANT;P-12;3/8;1,9cm;36;Novo;80052020059;Fio de sutura cirúrgica Midsorb Incolor composto por Poliglecaprone 25 Monofilamentar, de diâmetro USP 4-0 com 70 cm de comprimento, com agulha P12 de curvatura 3/8 Triang. Reverso Premium 1,9cm. Produto comercializado em caixa contendo 36 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020059 Código/modelo:435040MT- Fabricante: Polysuture. Origem: Nacional.;Poliglecaprone 25;Monocryl;PGCL40CT19IEAP
435040XF-;MIDSORB;SAS;MIDSORB INCOL. 4-0 45CM CT19.5XF;Cirurgia Plástica;XYY496G;MCP496G;Y496G;;4-0;45 cm;3/8 Circ. Triangular / Reverse Cutting - 1,95cm;Triang. Reverso Premium Plastic;CT19,5XF;3/8;1,95cm;12;EM PHASE-OUT - NOVO: 435040KD-;80052020059;Fio de sutura cirúrgica Midsorb Incolor composto por Poliglecaprone 25 Monofilamentar, de diâmetro USP 4-0 com 45 cm de comprimento, com agulha CT19,5XF de curvatura 3/8 Triang. Reverso Premium Plastic 1,95cm. Produto comercializado em caixa contendo 12 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020059 Código/modelo:435040XF- Fabricante: Polysuture. Origem: Nacional.;Poliglecaprone 25;Monocryl;PGCL40CT19IAP
435050KD-;MIDSORB;SAS;MIDSORB INCOL. 5-0 45CM P-12;Cirurgia Plástica;XYY495G;MCP495G;Y495G;;5-0;45 cm;3/8 Circ. Triangular / Reverse Cutting - 1,95cm;Triang. Reverso Premium - EDGELLANT;P-12;3/8;1,9cm;12;Novo;80052020059;Fio de sutura cirúrgica Midsorb Incolor composto por Poliglecaprone 25 Monofilamentar, de diâmetro USP 5-0 com 45 cm de comprimento, com agulha P12 de curvatura 3/8 Triang. Reverso Premium 1,9cm. Produto comercializado em caixa contendo 12 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020059 Código/modelo:435050KD- Fabricante: Polysuture. Origem: Nacional.;Poliglecaprone 25;Monocryl;PGCL50CT19IAP
435050XF-;MIDSORB;SAS;MIDSORB INCOL. 5-0 45CM CT19.5XF;Cirurgia Plástica;XYY495G;MCP495G;Y495G;;5-0;45 cm;3/8 Circ. Triangular / Reverse Cutting - 1,95cm;Triang. Reverso Premium Plastic;CT19,5 XF;3/8;1,95cm;12;EM PHASE-OUT - NOVO: 435050KD-;80052020059;Fio de sutura cirúrgica Midsorb Incolor composto por Poliglecaprone 25 Monofilamentar, de diâmetro USP 5-0 com 45 cm de comprimento, com agulha CT19,5XF de curvatura 3/8 Triang. Reverso Premium Plastic 1,95cm. Produto comercializado em caixa contendo 12 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020059 Código/modelo:435050XF- Fabricante: Polysuture. Origem: Nacional.;Poliglecaprone 25;Monocryl;PGCL50CT19IAP
525040XF-;MIDSORB;SAS;MIDSORB INCOL. 4-0 45CM MT15XF;Cirurgia Plástica;Y814G;;;;4-0;45 cm;1/2 Circ. Triangular / Reverse Cutting - 1,5cm;Triang. Reverso Premium Plastic;MT15 XF;1/2;1,5cm;12;;80052020059;Fio de sutura cirúrgica Midsorb Incolor composto por Poliglecaprone 25 Monofilamentar, de diâmetro USP 4-0 com 45 cm de comprimento, com agulha MT15XF de curvatura 1/2 Triang. Reverso Premium Plastic 1,5cm. Produto comercializado em caixa contendo 12 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020059 Código/modelo:525040XF- Fabricante: Polysuture. Origem: Nacional.;Poliglecaprone 25;Monocryl;
-845030;MIDSORB;SAS;MIDSORB VIOL. 3-0 70CM 2XMCR25;Urologia;;;;;3-0;70 cm;1/2 Circ. Cilíndrica Robusta / Taper Point Heavy - 2,5cm;Círculo Cilíndrica Robusta;2 x MCR25;1/2;2,5cm;24;;80052020059;Fio de sutura cirúrgica Midsorb Violeta composto por Poliglecaprone 25 Monofilamentar, de diâmetro USP 3-0 com 70 cm de comprimento, com duas agulhas (2) x MCR25 de curvatura 1/2 Círculo Cilíndrica Robusta Corpo estriado 2,5cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020059 Código/modelo:845030- Fabricante: Polysuture. Origem: Nacional.;Poliglecaprone 25;Monocryl;
845030E-;MIDSORB;SAS;MIDSORB VIOL. 3-0 35CM 2XMCR25;Urologia;;;;;3-0;35 cm;1/2 Circ. Cilíndrica Robusta / Taper Point Heavy - 2,5cm;Círculo Cilíndrica Robusta;2 x MCR25;1/2;2,5cm;24;;80052020059;Fio de sutura cirúrgica Midsorb Violeta composto por Poliglecaprone 25 Monofilamentar, de diâmetro USP 3-0 com 35 cm de comprimento, com duas agulhas (2) x MCR25 de curvatura 1/2 Círculo Cilíndrica Robusta Corpo estriado 2,5cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020059 Código/modelo:845030E- Fabricante: Polysuture. Origem: Nacional.;Poliglecaprone 25;Monocryl;
866000PV-;MIDSORB;SAS;MIDSORB VIOL. 0 90CM MCR36;Fechamento Geral / Obstetrícia / Ginecologia;CF924T;;;;0;90 cm;1/2 Círculo Cilíndrica Robusta - 3,6 cm;Círculo Cilíndrica Robusta;MCR36;1/2;3,6cm;24;;80052020059;Fio de sutura cirúrgica Midsorb Violeta composto por Poliglecaprone 25 Monofilamentar, de diâmetro USP 0 com 90 cm de comprimento, com agulha MCR36 de curvatura 1/2 Círculo Cilíndrica Robusta Corpo estriado 3,6cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020059 Código/modelo:866000PV- Fabricante: Polysuture. Origem: Nacional.;Poliglecaprone 25;Monocryl;
866001MV-;MIDSORB;SAS;MIDSORB VIOL. 1 70CM MCR36;Fechamento Geral / Obstetrícia / Ginecologia;CF813T;;;;1;70 cm;1/2 Círculo Cilíndrica Robusta - 3,6 cm;Círculo Cilíndrica Robusta;MCR36;1/2;3,6cm;24;;80052020059;Fio de sutura cirúrgica Midsorb Violeta composto por Poliglecaprone 25 Monofilamentar, de diâmetro USP 1 com 70 cm de comprimento, com agulha MCR36 de curvatura 1/2 Círculo Cilíndrica Robusta Corpo estriado 3,6cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020059 Código/modelo:866001MV- Fabricante: Polysuture. Origem: Nacional.;Poliglecaprone 25;Monocryl;PGCL1MR35R
866001PV-;MIDSORB;SAS;MIDSORB VIOL. 1 90CM MCR36;Fechamento Geral / Obstetrícia / Ginecologia;CF925T;;;;1;90 cm;1/2 Círculo Cilíndrica Robusta - 3,6 cm;Círculo Cilíndrica Robusta;MCR36;1/2;3,6cm;24;;80052020059;Fio de sutura cirúrgica Midsorb Violeta composto por Poliglecaprone 25 Monofilamentar, de diâmetro USP 1 com 90 cm de comprimento, com agulha MCR36 de curvatura 1/2 Círculo Cilíndrica Robusta Corpo estriado 3,6cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020059 Código/modelo:866001PV- Fabricante: Polysuture. Origem: Nacional.;Poliglecaprone 25;Monocryl;
866020PV-;MIDSORB;SAS;MIDSORB VIOL. 2-0 90CM MCR36;Fechamento Geral / Obstetrícia / Ginecologia;CF923T;;;;2-0;90 cm;1/2 Círculo Cilíndrica Robusta - 3,6 cm;Círculo Cilíndrica Robusta;MCR36;1/2;3,6cm;24;;80052020059;Fio de sutura cirúrgica Midsorb Violeta composto por Poliglecaprone 25 Monofilamentar, de diâmetro USP 2-0 com 90 cm de comprimento, com agulha MCR36 de curvatura 1/2 Círculo Cilíndrica Robusta Corpo estriado 3,6cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020059 Código/modelo:866020PV- Fabricante: Polysuture. Origem: Nacional.;Poliglecaprone 25;Monocryl;
866030MV-;MIDSORB;SAS;MIDSORB VIOL. 3-0 70CM MCR36;Fechamento Geral / Obstetrícia / Ginecologia;CF810T;;;;3-0;70 cm;1/2 Círculo Cilíndrica Robusta - 3,6 cm;Círculo Cilíndrica Robusta;MCR36;1/2;3,6cm;24;;80052020059;Fio de sutura cirúrgica Midsorb Violeta composto por Poliglecaprone 25 Monofilamentar, de diâmetro USP 3-0 com 70 cm de comprimento, com agulha MCR36 de curvatura 1/2 Círculo Cilíndrica Robusta Corpo estriado 3,6cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020059 Código/modelo:866030MV- Fabricante: Polysuture. Origem: Nacional.;Poliglecaprone 25;Monocryl;PGCL30MR35R
876000PV-;MIDSORB;SAS;MIDSORB VIOL. 0 90CM MCR40;Fechamento Geral / Obstetrícia / Ginecologia;CF914T;;;;0;90 cm;1/2 Círculo Cilíndrica Robusta - 4,0 cm;Círculo Cilíndrica Robusta;MCR40;1/2;4,0cm;24;;80052020059;Fio de sutura cirúrgica Midsorb Violeta composto por Poliglecaprone 25 Monofilamentar, de diâmetro USP 0 com 90 cm de comprimento, com agulha MCR40 de curvatura 1/2 Círculo Cilíndrica Robusta Corpo estriado 4,0cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020059 Código/modelo:876000PV- Fabricante: Polysuture. Origem: Nacional.;Poliglecaprone 25;Monocryl;
876001PV-;MIDSORB;SAS;MIDSORB VIOL. 1 90CM MCR40;Fechamento Geral / Obstetrícia / Ginecologia;CF915T;;;;1;90 cm;1/2 Círculo Cilíndrica Robusta - 4,0 cm;Círculo Cilíndrica Robusta;MCR40;1/2;4,0cm;24;;80052020059;Fio de sutura cirúrgica Midsorb Violeta composto por Poliglecaprone 25 Monofilamentar, de diâmetro USP 1 com 90 cm de comprimento, com agulha MCR40 de curvatura 1/2 Círculo Cilíndrica Robusta Corpo estriado 4,0cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020059 Código/modelo:876001PV- Fabricante: Polysuture. Origem: Nacional.;Poliglecaprone 25;Monocryl;
876020PV-;MIDSORB;SAS;MIDSORB VIOL. 2-0 90CM MCR40;Fechamento Geral / Obstetrícia / Ginecologia;CF913T;;;;2-0;90 cm;1/2 Círculo Cilíndrica Robusta - 4,0 cm;Círculo Cilíndrica Robusta;MCR40;1/2;4,0cm;24;;80052020059;Fio de sutura cirúrgica Midsorb Violeta composto por Poliglecaprone 25 Monofilamentar, de diâmetro USP 2-0 com 90 cm de comprimento, com agulha MCR40 de curvatura 1/2 Círculo Cilíndrica Robusta Corpo estriado 4,0cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020059 Código/modelo:876020PV- Fabricante: Polysuture. Origem: Nacional.;Poliglecaprone 25;Monocryl;
876030PV-;MIDSORB;SAS;MIDSORB VIOL. 3-0 90CM MCR40;Fechamento Geral / Obstetrícia / Ginecologia;CF912T;;;;3-0;90 cm;1/2 Círculo Cilíndrica Robusta - 4,0 cm;Círculo Cilíndrica Robusta;MCR40;1/2;4,0cm;24;;80052020059;Fio de sutura cirúrgica Midsorb Violeta composto por Poliglecaprone 25 Monofilamentar, de diâmetro USP 3-0 com 90 cm de comprimento, com agulha MCR40 de curvatura 1/2 Círculo Cilíndrica Robusta Corpo estriado 4,0cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020059 Código/modelo:876030PV- Fabricante: Polysuture. Origem: Nacional.;Poliglecaprone 25;Monocryl;
886000MV-;MIDSORB;SAS;MIDSORB VIOL. 0 70CM MCR48;Fechamento Geral / Obstetrícia / Ginecologia;CF864T;;;;0;70 cm;1/2 Círculo Cilíndrica Robusta - 4,8 cm;Círculo Cilíndrica Robusta;MCR48;1/2;4,8cm;24;;80052020059;Fio de sutura cirúrgica Midsorb Violeta composto por Poliglecaprone 25 Monofilamentar, de diâmetro USP 0 com 70 cm de comprimento, com agulha MCR48 de curvatura 1/2 Círculo Cilíndrica Robusta Corpo estriado 4,8cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020059 Código/modelo:886000MV- Fabricante: Polysuture. Origem: Nacional.;Poliglecaprone 25;Monocryl;PGCL0MR48R
886000PV-;MIDSORB;SAS;MIDSORB VIOL. 0 90CM MCR48;Fechamento Geral / Obstetrícia / Ginecologia;CF904T;;;;0;90 cm;1/2 Círculo Cilíndrica Robusta - 4,8 cm;Círculo Cilíndrica Robusta;MCR48;1/2;4,8cm;24;;80052020059;Fio de sutura cirúrgica Midsorb Violeta composto por Poliglecaprone 25 Monofilamentar, de diâmetro USP 0 com 90 cm de comprimento, com agulha MCR48 de curvatura 1/2 Círculo Cilíndrica Robusta Corpo estriado 4,8cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020059 Código/modelo:886000PV- Fabricante: Polysuture. Origem: Nacional.;Poliglecaprone 25;Monocryl;PGCL0MR48ER
886001MV-;MIDSORB;SAS;MIDSORB VIOL. 1 70CM MCR48;Fechamento Geral / Obstetrícia / Ginecologia;CF865T;;;;1;70 cm;1/2 Círculo Cilíndrica Robusta - 4,8 cm;Círculo Cilíndrica Robusta;MCR48;1/2;4,8cm;24;;80052020059;Fio de sutura cirúrgica Midsorb Violeta composto por Poliglecaprone 25 Monofilamentar, de diâmetro USP 1 com 70 cm de comprimento, com agulha MCR48 de curvatura 1/2 Círculo Cilíndrica Robusta Corpo estriado 4,8cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020059 Código/modelo:886001MV- Fabricante: Polysuture. Origem: Nacional.;Poliglecaprone 25;Monocryl;
886001PV-;MIDSORB;SAS;MIDSORB VIOL. 1 90CM MCR48;Fechamento Geral / Obstetrícia / Ginecologia;CF905T;;;;1;90 cm;1/2 Círculo Cilíndrica Robusta - 4,8 cm;Círculo Cilíndrica Robusta;MCR48;1/2;4,8cm;24;;80052020059;Fio de sutura cirúrgica Midsorb Violeta composto por Poliglecaprone 25 Monofilamentar, de diâmetro USP 1 com 90 cm de comprimento, com agulha MCR48 de curvatura 1/2 Círculo Cilíndrica Robusta Corpo estriado 4,8cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020059 Código/modelo:886001PV- Fabricante: Polysuture. Origem: Nacional.;Poliglecaprone 25;Monocryl;PGCL1MR48ER
935030XF-;MIDSORB;SAS;MIDSORB INCOL. 3-0 70CM CT19.5XF;Cirurgia Plástica;XYY427H;MCP427H;Y427H;;3-0;70 cm;3/8 Circ. Triangular / Reverse Cutting - 1,95cm;Triang. Reverso Premium Plastic;CT19,5XF;3/8;1,95cm;36;EM PHASE-OUT - NOVO: 435030MTE-;80052020059;Fio de sutura cirúrgica Midsorb Incolor composto por Poliglecaprone 25 Monofilamentar, de diâmetro USP 3-0 com 70 cm de comprimento, com agulha CT19,5XF de curvatura 3/8 Triang. Reverso Premium Plastic 1,95cm. Produto comercializado em caixa contendo 36 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020059 Código/modelo:935030XF- Fabricante: Polysuture. Origem: Nacional.;Poliglecaprone 25;Monocryl;PGCL30CT19IEAP
935040XF-;MIDSORB;SAS;MIDSORB INCOL. 4-0 70CM CT19.5XF;Cirurgia Plástica;XYY426H;MCP426H;Y426H;;4-0;70 cm;3/8 Circ. Triangular / Reverse Cutting - 1,95cm;Triang. Reverso Premium Plastic;CT19,5XF;3/8;1,95cm;36;EM PHASE-OUT - NOVO: 435040MT-;80052020059;Fio de sutura cirúrgica Midsorb Incolor composto por Poliglecaprone 25 Monofilamentar, de diâmetro USP 4-0 com 70 cm de comprimento, com agulha CT19,5XF de curvatura 3/8 Triang. Reverso Premium Plastic 1,95cm. Produto comercializado em caixa contendo 36 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020059 Código/modelo:935040XF- Fabricante: Polysuture. Origem: Nacional.;Poliglecaprone 25;Monocryl;PGCL40CT19IEAP
2NP22360-;MONOSOF;NYLON;MONOSOF PRETO 6-0 75CM 2XMC15;Vascular;V8350T;;;;6-0;75 cm;1/2 Circ. Cilindrica / Taper point - 1,5 cm;Círculo  Cilíndrico;2 x MC15;1/2;1,5cm;24;;80052020064;Fio de sutura cirúrgica Monosof Preto composto por Nylon (Poliamida) monofilamentar, de diâmetro USP 6-0 com 75 cm de comprimento, com duas agulhas (2) x MC15 de curvatura 1/2 Círculo  Cilíndrico 1,5cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020064 Código/modelo:2NP22360- Fabricante: Polysuture. Origem: Nacional.;Nylon;Mononylon;
